timestamp,imgtype,image,run_date,plantcv_version,sample,med_datacube_none,median_datacube_none,percentile_0_datacube_none,percentile_100_datacube_none,percentile_10_datacube_none,percentile_15_datacube_none,percentile_20_datacube_none,percentile_25_datacube_none,percentile_30_datacube_none,percentile_35_datacube_none,percentile_40_datacube_none,percentile_45_datacube_none,percentile_50_datacube_none,percentile_55_datacube_none,percentile_5_datacube_none,percentile_60_datacube_none,percentile_65_datacube_none,percentile_70_datacube_none,percentile_75_datacube_none,percentile_80_datacube_none,percentile_85_datacube_none,percentile_90_datacube_none,percentile_95_datacube_none,plant_elevation_metre,plant_height_metre,soil_elevation_metre,std_datacube_none
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_101,86.40941619873047,86.40941619873047,86.3410873413086,86.47615051269531,86.37255859375,86.37759399414062,86.38310241699219,86.3895263671875,86.39476013183594,86.39896392822266,86.40271759033203,86.40591430664062,86.40941619873047,86.41313171386719,86.36663818359375,86.41698455810547,86.42060089111328,86.42396545410156,86.42736053466797,86.43168640136719,86.43608093261719,86.44155883789062,86.44779205322266,86.44779205322266,0.09165191650390625,86.35614013671875,0.02538059276732571
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_102,86.0879135131836,86.0879135131836,86.01952362060547,86.15170288085938,86.0634765625,86.069580078125,86.07380676269531,86.07643127441406,86.0793685913086,86.08159637451172,86.08356475830078,86.0856704711914,86.0879135131836,86.09059143066406,86.05288696289062,86.09370422363281,86.09703826904297,86.10047912597656,86.10375213623047,86.10684204101562,86.11044311523438,86.11434173583984,86.12000274658203,86.12000274658203,0.0870513916015625,86.03295135498047,0.02059227776477356
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_103,85.98915100097656,85.98915100097656,85.91840362548828,86.06790161132812,85.9583511352539,85.96440887451172,85.9689712524414,85.97332763671875,85.97723388671875,85.98080444335938,85.98350524902344,85.98603057861328,85.98915100097656,85.9920654296875,85.94659423828125,85.9952392578125,85.99886322021484,86.00218200683594,86.00556945800781,86.00935363769531,86.01386260986328,86.01876831054688,86.02523803710938,86.02523803710938,0.09317779541015625,85.93206024169922,0.02337191844189673
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_201,86.38143157958984,86.38143157958984,86.29341125488281,86.4568099975586,86.33990478515625,86.35093688964844,86.35820770263672,86.363525390625,86.36766815185547,86.3714370727539,86.3750991821289,86.37825012207031,86.38143157958984,86.38497924804688,86.31991577148438,86.3886947631836,86.39214324951172,86.39599609375,86.39966583251953,86.40259552001953,86.4061508178711,86.41031646728516,86.41703796386719,86.41703796386719,0.1122283935546875,86.3048095703125,0.028082792967585625
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_202,86.23600769042969,86.23600769042969,86.15723419189453,86.33025360107422,86.1900863647461,86.19782257080078,86.20504760742188,86.2114486694336,86.2159194946289,86.22099304199219,86.22637939453125,86.23091125488281,86.23600769042969,86.24044799804688,86.18194580078125,86.24534606933594,86.2496566772461,86.25362396240234,86.25836181640625,86.26431274414062,86.2728271484375,86.28364562988281,86.29698944091797,86.29698944091797,0.127532958984375,86.1694564819336,0.03419875675229793
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_203,85.90254974365234,85.90254974365234,85.78350830078125,85.98118591308594,85.84477233886719,85.85989379882812,85.86874389648438,85.87556457519531,85.8816146850586,85.88664245605469,85.8916015625,85.89681243896484,85.90254974365234,85.90736389160156,85.83295440673828,85.91179656982422,85.91698455810547,85.9212646484375,85.92533874511719,85.9297103881836,85.93476867675781,85.94166564941406,85.95162963867188,85.95162963867188,0.137420654296875,85.814208984375,0.03570476260399561
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_301,86.3079605102539,86.3079605102539,86.21992492675781,86.38679504394531,86.26583099365234,86.2728271484375,86.27876281738281,86.28472137451172,86.29071044921875,86.29571533203125,86.30018615722656,86.30427551269531,86.3079605102539,86.31224060058594,86.25308990478516,86.3160171508789,86.31987762451172,86.32444763183594,86.3299560546875,86.33466339111328,86.34031677246094,86.34660339355469,86.35421752929688,86.35421752929688,0.12287139892578125,86.2313461303711,0.030629525907609173
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_302,86.31013488769531,86.31013488769531,86.24559020996094,86.39307403564453,86.27630615234375,86.28105926513672,86.28561401367188,86.29066467285156,86.29492950439453,86.29886627197266,86.30265808105469,86.30647277832031,86.31013488769531,86.31304168701172,86.26927947998047,86.31674194335938,86.32074737548828,86.32524108886719,86.33026123046875,86.33634185791016,86.3450698852539,86.35269165039062,86.36016082763672,86.36016082763672,0.10257720947265625,86.25758361816406,0.02805568848871374
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_303,86.04281616210938,86.04281616210938,85.99007415771484,86.11869812011719,86.01686096191406,86.02216339111328,86.0256118774414,86.02872467041016,86.03125,86.0340576171875,86.03651428222656,86.03929138183594,86.04281616210938,86.0462875366211,86.01056671142578,86.04986572265625,86.05392456054688,86.05783081054688,86.06175231933594,86.06526184082031,86.0697250366211,86.07555389404297,86.0842056274414,86.0842056274414,0.08461761474609375,85.99958801269531,0.02246190536897596
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_401,86.46829223632812,86.46829223632812,86.38782501220703,86.54013061523438,86.4361343383789,86.44015502929688,86.44408416748047,86.44695281982422,86.45025634765625,86.45368957519531,86.45784759521484,86.46275329589844,86.46829223632812,86.47415161132812,86.42964935302734,86.47943115234375,86.48463439941406,86.4896240234375,86.49421691894531,86.49836730957031,86.50244903564453,86.50785064697266,86.51380920410156,86.51380920410156,0.0980072021484375,86.41580200195312,0.0276640008531128
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_402,86.1625747680664,86.1625747680664,86.09117889404297,86.23019409179688,86.12415313720703,86.12982177734375,86.1343994140625,86.13858795166016,86.14317321777344,86.14888763427734,86.15403747558594,86.15846252441406,86.1625747680664,86.16669464111328,86.11734008789062,86.17034912109375,86.17404174804688,86.17715454101562,86.1810073852539,86.18473052978516,86.18862915039062,86.19328308105469,86.19930267333984,86.19930267333984,0.0931243896484375,86.1061782836914,0.02604521048816606
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_403,86.1405029296875,86.1405029296875,86.07844543457031,86.21485900878906,86.11338806152344,86.11996459960938,86.12374877929688,86.12678527832031,86.1297607421875,86.1327133178711,86.13517761230469,86.13765716552734,86.1405029296875,86.14348602294922,86.10472869873047,86.14695739746094,86.15062713623047,86.15443420410156,86.15889739990234,86.16326904296875,86.16973114013672,86.17737579345703,86.18638610839844,86.18638610839844,0.0960540771484375,86.09033203125,0.024022168609229438
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_501,86.43963623046875,86.43963623046875,86.363037109375,86.51972198486328,86.40460968017578,86.41020965576172,86.41414642333984,86.41773986816406,86.4214096069336,86.42462921142578,86.42835998535156,86.43335723876953,86.43963623046875,86.44537353515625,86.39588928222656,86.45057678222656,86.45561981201172,86.46053314208984,86.46544647216797,86.4701919555664,86.47592163085938,86.48255157470703,86.49177551269531,86.49177551269531,0.11541748046875,86.37635803222656,0.030265173767709555
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_502,86.22564697265625,86.22564697265625,86.1496810913086,86.29568481445312,86.1904067993164,86.19937896728516,86.20536041259766,86.21002197265625,86.21358489990234,86.21715545654297,86.2201156616211,86.22310638427734,86.22564697265625,86.22815704345703,86.18033599853516,86.23059844970703,86.23319244384766,86.23600769042969,86.24021911621094,86.24579620361328,86.25149536132812,86.26021575927734,86.2681655883789,86.2681655883789,0.10367584228515625,86.16448974609375,0.025444845948735407
2023-05-03,DEM,./DSMs/2023-05-03_DEM.tif,2025-12-15T15:42:47.025016Z,4.10.dev351+g6d26a0230,default_503,86.07855224609375,86.07855224609375,86.0129623413086,86.15727996826172,86.04434204101562,86.05193328857422,86.05655670166016,86.06110382080078,86.06464385986328,86.0683822631836,86.07198333740234,86.07522583007812,86.07855224609375,86.0818862915039,86.03530883789062,86.08528900146484,86.08845520019531,86.09228515625,86.09626770019531,86.10216522216797,86.10712432861328,86.1130142211914,86.12178802490234,86.12178802490234,0.09575653076171875,86.02603149414062,0.025384059429346222
